company_name,city,zip_code,naics3,stakeholder,naics_description,produce_needed,category,sales_volume,latitude,longitude,match
A & J Enterprise,Lompoc,93436,424,Wholesaler,General Line Grocery Merchant Wholesalers,All,Intermediate,4864000,34.654737,-120.457069,Yes
Apeel Sciences Inc,Goleta,93117,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,246128000,34.434309,-119.85717,Yes
Bella Vista Produce,Santa Maria,93458,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,6762000,34.91943,-120.514472,Yes
Berry Man Inc,Santa Barbara,93101,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,0,34.412124,-119.695424,Yes
Boni Fresh Ready-Cut Vgtbls,Santa Maria,93458,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,108188000,34.954328,-120.45207,Yes
Bonipak Produce Inc,Santa Maria,93458,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,0,34.935793,-120.47722,Yes
California Giant,Santa Maria,93458,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,32457000,34.937786,-120.479456,Yes
Central West Produce,Santa Maria,93455,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,40571000,34.900179,-120.445946,Yes
Coastal Growers Supply Inc,Santa Maria,93455,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,20286000,34.872121,-120.463681,Yes
Combs Distribution,Santa Maria,93458,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,5410000,34.95443,-120.50125,Yes
Curation Foods,Guadalupe,93434,424,Wholesaler,Fresh Fruit And Vegetable Merchant Wholesalers,"avocados,apples,stone fruits,berries,specialty fruits,broccoli,cauliflower,leafy greens,celery,carrots,onions,leeks,tomatoes,peppers,cucumbers,squash,beans,peas",Intermediate,0,34.968301,-120.572998,Yes
