company_name,city,zip_code,naics3,stakeholder,naics_description,type_produced,category,sales_volume,latitude,longitude
Animali Farm,Santa Maria,93454,112,Producer,Horses And Other Equine Production,"live horses,horse meat,hides,leather,glue,gelatin,manure",Animal Production & Aquaculture,93000,34.918341,-120.22017
Bee Cal LLC,Santa Barbara,93101,112,Producer,Apiculture,"honey,beeswax,royal jelly,propolis,bee venom",Animal Production & Aquaculture,93000,34.415744,-119.696358
Beekeepers Guild,Santa Barbara,93160,112,Producer,Apiculture,"honey,beeswax,royal jelly,propolis,bee venom",Animal Production & Aquaculture,93000,34.43703,-119.80878
Cultured Abalone Farm LLC,Goleta,93117,112,Producer,Shellfish Farming,"mediterranean mussels,red abalone,oysters,clams,scallops",Animal Production & Aquaculture,202000,34.441302,-119.963395
El Rancho Espanol De Cuyama,New Cuyama,93254,112,Producer,Beef Cattle Ranching And Farming,"beef,hides,leather,manure,tallow,gelatin",Animal Production & Aquaculture,1376000,34.94764,-119.688691
Evergreen Management,Goleta,93117,112,Producer,Horses And Other Equine Production,"live horses,horse meat,hides,leather,glue,gelatin,manure",Animal Production & Aquaculture,93000,34.439566,-119.897487
Foothill Farms Of Cuyama LLC,Cuyama,93254,112,Producer,Beef Cattle Ranching And Farming,"beef,hides,leather,manure,tallow,gelatin",Animal Production & Aquaculture,551000,34.94764,-119.688691
Gravity Ranch Designs,Santa Ynez,93460,112,Producer,Beef Cattle Ranching And Farming,"beef,hides,leather,manure,tallow,gelatin",Animal Production & Aquaculture,276000,34.701036,-120.089769
Karsen William Caldera Bennett,Santa Maria,93455,112,Producer,Beef Cattle Ranching And Farming,"beef,hides,leather,manure,tallow,gelatin",Animal Production & Aquaculture,826000,34.873126,-120.425964
Los Padres Outfitters LLC,Carpinteria,93013,112,Producer,Beef Cattle Ranching And Farming,"beef,hides,leather,manure,tallow,gelatin",Animal Production & Aquaculture,1101000,34.416213,-119.541601
Old Dairy Partners LLC,Santa Barbara,93130,112,Producer,Dairy Cattle And Milk Production,"milk,cheese,butter,yogurt,milk powder",Animal Production & Aquaculture,1101000,34.43987,-119.73641
One Hundred Oaks Ranch LLC,Santa Ynez,93460,112,Producer,Horses And Other Equine Production,"live horses,horse meat,hides,leather,glue,gelatin,manure",Animal Production & Aquaculture,93000,34.612068,-120.027945
Pacific Livestock Supplements,Santa Maria,93454,112,Producer,Beef Cattle Ranching And Farming,"beef,hides,leather,manure,tallow,gelatin",Animal Production & Aquaculture,1376000,34.959803,-120.434348
Rancho LA Purisima,Buellton,93427,112,Producer,Horses And Other Equine Production,"live horses,horse meat,hides,leather,glue,gelatin,manure",Animal Production & Aquaculture,186000,34.673617,-120.184353
San Marcos Farms,Goleta,93117,112,Producer,Apiculture,"honey,beeswax,royal jelly,propolis,bee venom",Animal Production & Aquaculture,93000,34.433808,-119.838697
Walking U Ranch LLC,New Cuyama,93254,112,Producer,Beef Cattle Ranching And Farming,"beef,hides,leather,manure,tallow,gelatin",Animal Production & Aquaculture,1101000,34.94764,-119.688691
Agrosource Group,Orcutt,93455,111,Producer,Nursery And Tree Production,"ornmental trees and shrubs,fruits and nuts,sod,christmas trees,landscape plants",Crop Production,196000,34.917929,-120.457432
Arc Vineyards LLC,Santa Maria,93455,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,201000,34.854609,-120.3715
Arc Vineyards LLC,Santa Maria,93455,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.854173,-120.370598
Aubon Climate Winery,Santa Maria,93454,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,251000,34.893604,-120.302307
August Ridge Vineyards,Santa Barbara,93101,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,151000,34.422609,-119.703095
Bien Nacido Vineard,Santa Maria,93455,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.885651,-120.434091
Bien Nacido Vineyards,Santa Maria,93455,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.885651,-120.434091
Brander Vineyard,Santa Ynez,93460,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,401000,34.65628,-120.09793
Bruce Hilliard Vineyard LLC,Lompoc,93436,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,401000,34.665189,-120.36266
Buell Ranch Vineyard LLC,Buellton,93427,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.627764,-120.188069
Buttonwood Farm Winery-Vnyrd,Solvang,93463,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,1251000,34.621545,-120.114049
Cal Glads,Santa Maria,93458,111,Producer,Nursery And Tree Production,"ornmental trees and shrubs,fruits and nuts,sod,christmas trees,landscape plants",Crop Production,456000,34.93954,-120.457874
Cal-Orchid Inc,Santa Barbara,93111,111,Producer,Nursery And Tree Production,"ornmental trees and shrubs,fruits and nuts,sod,christmas trees,landscape plants",Crop Production,326000,34.420597,-119.806012
Cambria Wines,Santa Maria,93454,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,301000,34.873849,-120.257844
Cebada Vineyard,Santa Barbara,93101,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.420019,-119.699153
Ching Hua Orchids,Santa Barbara,93105,111,Producer,Nursery And Tree Production,"ornmental trees and shrubs,fruits and nuts,sod,christmas trees,landscape plants",Crop Production,326000,34.430027,-119.736235
Cool Hand Vineyard,Buellton,93427,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.620855,-120.187519
Delanda LLC,Los Olivos,93441,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.665126,-120.115063
Dierberg & Star Lane Winery,Lompoc,93436,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,251000,34.645473,-120.286326
Dierberg Estate Vineyard,Solvang,93464,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.593886,-120.138921
Erik Van Wingarden,Carpinteria,93013,111,Producer,Floriculture Production,"cut flowers,garden plants,potted plants,foliage plants,cut cultivated greens",Crop Production,196000,34.410902,-119.519227
Estrella Vineyards LLC,Santa Ynez,93460,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.648054,-120.04927
Firestone Vineyard,Los Olivos,93441,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,201000,34.665126,-120.115063
Flores Family Vineyards,Buellton,93427,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,151000,34.612736,-120.199705
Forbidden Fruit Orchards,Lompoc,93436,111,Producer,Apple Orchards,"fresh apples,apple cider,apple juice,apple vinegar,processed apple foods",Crop Production,151000,34.678871,-120.370916
Foxen Foxen Vineyard & Winery,Santa Maria,93454,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,1001000,34.819998,-120.230326
Foxen Vineyard,Santa Maria,93454,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,301000,34.819998,-120.230326
Gainey Vineyard,Lompoc,93436,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,101000,34.66343,-120.34011
Gallup & Stribling,Carpinteria,93013,111,Producer,Nursery And Tree Production,"ornmental trees and shrubs,fruits and nuts,sod,christmas trees,landscape plants",Crop Production,3253000,34.415859,-119.557558
Glad-A-Way Gardens Inc,Santa Maria,93455,111,Producer,Nursery And Tree Production,"ornmental trees and shrubs,fruits and nuts,sod,christmas trees,landscape plants",Crop Production,196000,34.867127,-120.364215
Gleason Family Vineyards LP,Santa Ynez,93460,111,Producer,Grape Vineyards,"wine,grapes,raisins,grape juice,grape seed oil",Crop Production,251000,34.649706,-120.096138
